Euring;Sortering;Artnavn;Latin;English;Status;Type
04640;2870;Ørkenløber;"Cursorius cursor";"Cream-colored Courser";AU;art
04660;2880;Orientbraksvale;"Glareola maldivarum";"Oriental Pratincole";AU;art
04670;2890;"Sortvinget Braksvale";"Glareola nordmanni";"Black-winged Pratincole";AU;art
04689;2900;"Braksvale sp.";"Glareola sp.";"Pratincole sp.";HU;ubestemt
05658;2910;"Vader sp., Stor";"Charadrii sp.";"Limicolae (Larger)";H;ubestemt
05659;2920;"Vader sp., Lille";"Charadrii sp.";"Limicolae (Smaller)";H;ubestemt
04650;2930;"Rødvinget Braksvale";"Glareola pratincola";"Collared Pratincole";AU;art
06230;2940;"Sodfarvet Terne";"Onychoprion fuscatus";"Sooty Tern";U;art
06220;2950;Brilleterne;"Onychoprion anaethetus";"Bridled Tern";AU;art
06240;2960;Dværgterne;"Sternula albifrons";"Little Tern";A;art
06050;2970;Sandterne;"Gelochelidon nilotica";"Gull-billed Tern";AS;art
06060;2980;Rovterne;"Hydroprogne caspia";"Caspian Tern";A;art
06260;2990;"Hvidskægget Terne";"Chlidonias hybrida";"Whiskered Tern";AU;art
06270;3000;Sortterne;"Chlidonias niger";"Black Tern";A;art
06289;3010;"Moseterne sp.";"Chlidonias sp.";"Tern sp. (Chlidonias)";H;ubestemt
06280;3020;"Hvidvinget Terne";"Chlidonias leucopterus";"White-winged Tern";AS;art
06160;3030;Havterne;"Sterna paradisaea";"Arctic Tern";A;art
06159;3040;Fjordterne/Havterne;"Sterna hirundo/S. paradisaea";"Common Tern/Arctic Tern";H;ubestemt
06150;3050;Fjordterne;"Sterna hirundo";"Common Tern";A;art
06140;3060;Rosenterne;"Sterna dougallii";"Roseate Tern";AU;art
06110;3070;Splitterne;"Thalasseus sandvicensis";"Sandwich Tern";A;art
06259;3080;"Terne sp.";"Sterna/Clidonias/etc sp.";"Tern sp.";H;ubestemt
06120;3090;Aztekerterne;"Thalasseus elegans";"Elegant Tern";AU;art
05780;3100;Dværgmåge;"Hydrocoloeus minutus";"Little Gull";A;art
06010;3110;Rosenmåge;"Rhodostethia rosea";"Ross's Gull";AU;art
06020;3120;Ride;"Rissa tridactyla";"Black-legged Kittiwake";A;art
06040;3130;Ismåge;"Pagophila eburnea";"Ivory Gull";AU;art
05790;3140;Sabinemåge;"Xema sabini";"Sabine's Gull";AS;art
05850;3150;"Tyndnæbbet Måge";"Chroicocephalus genei";"Slender-billed Gull";AU;art
05810;3160;Bonapartemåge;"Chroicocephalus philadelphia";"Bonaparte's Gull";AU;art
05820;3170;Hættemåge;"Chroicocephalus ridibundus";"Black-headed Gull";A;art
05760;3180;Lattermåge;"Leucophaeus atricilla";"Laughing Gull";AU;art
05770;3190;Præriemåge;"Leucophaeus pipixcan";"Franklin's Gull";AU;art
05730;3200;"Stor Sorthovedet Måge";"Ichthyaetus ichthyaetus";"Pallas's Gull";AU;art
05880;3210;Audouinsmåge;"Ichthyaetus audouinii";"Audouin's Gull";AU;art
05750;3220;"Sorthovedet Måge";"Ichthyaetus melanocephalus";"Mediterranean Gull";A;art
05758;3230;"Sorthovedet Måge x Hættemåge (hybrid)";"Ichthyaetus melanocephalus x Chroicocephalus ridibundus";"Mediterranean Gull x Black-headed Gull";H;hybrid
05900;3240;Stormmåge;"Larus canus";"Common Gull";A;art
05901;3250;"Stormmåge (ssp. canus)";"Larus canus canus";"Common Gull (ssp. canus)";A;underart
05902;3260;"Stormmåge, Russisk (ssp. heinei)";"Larus canus heinei";"Common Gull (ssp. heinei)";AS;underart
05890;3270;"Ringnæbbet Måge";"Larus delawarensis";"Ring-billed Gull";AU;art
05930;3280;"Kaspisk Måge";"Larus cachinnans";"Caspian Gull";A;art
05935;3290;"Sølvmåge x Kaspisk Måge (hybrid)";"Larus argentatus x L. cachinnans";"European Herring Gull x Caspian Gull";H;hybrid
05918;3300;"Sølvmåge x Sildemåge (hybrid)";"Larus argentatus x L. fuscus";"European Herring Gull x Lesser Black-backed Gull";H;hybrid
05999;3310;"Sølvmåge x Gråmåge (hybrid)";"Larus argentatus x L. hyperboreus";"European Herring Gull x Glaucous Gull";H;hybrid
05920;3320;Sølvmåge;"Larus argentatus";"European Herring Gull";A;art
05928;3330;"Sølvmåge, Britisk (ssp. argenteus)";"Larus argentatus argenteus";"European Herring Gull (ssp. argenteus)";A;underart
05921;3340;"Sølvmåge, Skandinavisk (ssp. argentatus)";"Larus argentatus argentatus";"European Herring Gull (ssp. argentatus)";A;underart
05915;3350;Middelhavssølvmåge;"Larus michahellis";"Yellow-legged Gull";AS;art
05919;3360;"Armensk Måge";"Larus armenicus";"Armenian Gull";AU;art
06000;3370;Svartbag;"Larus marinus";"Great Black-backed Gull";A;art
06049;3380;"Måge sp.";Larini;"Gull sp.";H;ubestemt
05990;3390;Gråmåge;"Larus hyperboreus";"Glaucous Gull";AS;art
05910;3400;Sildemåge;"Larus fuscus";"Lesser Black-backed Gull";A;art
05913;3410;"Sildemåge, Nordsøsildemåge (ssp. intermedius)";"Larus fuscus intermedius";"Lesser Black-backed Gull (ssp. intermedius)";A;underart
05912;3420;"Sildemåge, Britisk (ssp. graellsii)";"Larus fuscus graellsii";"Lesser Black-backed Gull (ssp. graellsii)";A;underart
05911;3430;"Sildemåge, Baltisk (ssp. fuscus)";"Larus fuscus fuscus";"Lesser Black-backed Gull (ssp. fuscus)";AS;underart
05922;3440;"Sildemåge, Sibirisk Måge (ssp. heuglini)";"Larus fuscus heuglini";"Lesser Black-backed Gull (ssp. heuglini)";AU;underart
05960;3450;"Gråvinget Måge";"Larus glaucescens";"Glaucous-winged Gull";AU;art
05980;3460;"Hvidvinget Måge";"Larus glaucoides";"Iceland Gull";AS;art
05981;3470;"Hvidvinget Måge (ssp. glaucoides)";"Larus glaucoides glaucoides";"Iceland Gull (ssp. glaucoides)";AS;underart
05982;3480;"Hvidvinget Måge, Baffinmåge (ssp. kumlieni)";"Larus glaucoides kumlieni";"Iceland Gull (ssp. kumlieni)";AU;underart
05983;3490;"Hvidvinget Måge, Inuitmåge (ssp. thayeri)";"Larus glaucoides thayeri";"Iceland Gull (ssp. thayeri)";AU;underart
05680;3500;"Lille Kjove";"Stercorarius longicaudus";"Long-tailed Jaeger";AS;art
05670;3510;"Almindelig Kjove";"Stercorarius parasiticus";"Parasitic Jaeger";A;art
05679;3520;"Almindelig Kjove/Lille Kjove";"Stercorarius parasiticus/S. longicaudus";"Parasitic Jaeger/Long-tailed Jaeger";H;ubestemt
05660;3530;Mellemkjove;"Stercorarius pomarinus";"Pomarine Jaeger";AS;art
05669;3540;"Mellemkjove/Almindelig Kjove";"Stercorarius pomarinus/S. parasiticus";"Pomarine Jaeger/Parasitic Jaeger";H;ubestemt
05690;3550;Storkjove;"Stercorarius skua";"Great Skua";A;art
05709;3560;"Kjove sp.";Stercorariini;"Jaeger/Skua sp.";H;ubestemt
06540;3570;Lunde;"Fratercula arctica";"Atlantic Puffin";AS;art
06380;3580;Tejst;"Cepphus grylle";"Black Guillemot";A;art
06381;3590;"Tejst, Baltisk (ssp. grylle)";"Cepphus grylle grylle";"Black Guillemot (ssp. grylle)";A;underart
06385;3600;"Tejst, Atlantisk (ssp. arcticus)";"Cepphus grylle arcticus";"Black Guillemot (ssp. arcticus)";A;underart
06360;3610;Alk;"Alca torda";Razorbill;A;art
06361;3620;"Alk, Nordlig (ssp. torda)";"Alca torda torda";"Razorbill (ssp. torda)";A;underart
06362;3630;"Alk, Atlantisk (ssp. islandica)";"Alca torda islandica";"Razorbill (ssp. islandica)";A;underart
06470;3640;Søkonge;"Alle alle";"Little Auk";AS;art
06350;3650;Polarlomvie;"Uria lomvia";"Thick-billed Murre";AU;art
06340;3660;Lomvie;"Uria aalge";"Common Murre";A;art
06341;3670;"Lomvie, Nordlig (ssp. aalge)";"Uria aalge aalge";"Common Murre (ssp. aalge)";A;underart
06343;3680;"Lomvie, Arktisk (ssp. hyperborea)";"Uria aalge hyperborea";"Common Murre (ssp. hyperborea)";AU;underart
06342;3690;"Lomvie, Sydlig (ssp. albionis)";"Uria aalge albionis";"Common Murre (ssp. albionis)";A;underart
06369;3700;Lomvie/Alk;"Uria aalge/Alca torda";"Common Murre/Razorbill";H;ubestemt
06569;3710;"Alkefugl sp.";Alcinae;"Auk sp.";H;ubestemt
00020;3720;"Rødstrubet Lom";"Gavia stellata";"Red-throated Loon";A;art
00029;3730;"Rødstrubet Lom/Sortstrubet Lom";"Gavia stellata/G. arctica";"Red-throated Loon/Black-throated Loon";H;ubestemt
00030;3740;"Sortstrubet Lom";"Gavia arctica";"Black-throated Loon";A;art
00033;3750;Stillehavslom;"Gavia pacifica";"Pacific Loon";AU;art
00040;3760;Islom;"Gavia immer";"Common Loon";AS;art
00049;3770;"Islom/Hvidnæbbet Lom";"Gavia immer/G. adamsii";"Common Loon/Yellow-billed Loon";H;ubestemt
00050;3780;"Hvidnæbbet Lom";"Gavia adamsii";"Yellow-billed Loon";AS;art
00059;3790;"Lom sp.";Gaviidae;"Loon sp.";H;ubestemt
00500;3800;"Wilsons Stormsvale";"Oceanites oceanicus";"Wilson's Storm Petrel";AU;art
00140;3810;"Sortbrynet Albatros";"Thalassarche melanophris";"Black-browed Albatross";AU;art
00209;3820;"Albatros sp.";Diomedeidae;"Albatross sp.";HU;ubestemt
00520;3830;"Lille Stormsvale";"Hydrobates pelagicus";"European Storm Petrel";AS;art
00550;3840;"Stor Stormsvale";"Hydrobates leucorhous";"Leach's Storm Petrel";AS;art
00639;3850;"Stormsvale sp.";Hydrobatidae;"Storm Petrel sp.";H;ubestemt
00220;3860;Mallemuk;"Fulmarus glacialis";"Northern Fulmar";A;art
00259;3870;"Madeira/Kap Verde/Desertas Petrel";"Pterodroma madeira/feae/deserta";"Zino's/Fea's/Desertas Petrel";HU;ubestemt
00362;3880;"Atlantisk Skråpe";"Calonectris borealis";"Cory's Shearwater";AU;art
00360;3890;"Atlantisk Skråpe/Scopolis Skråpe";"Calonectris borealis/C. diomedea";"Cory's Shearwater/Scopolis Shearwater";HU;ubestemt
00369;3900;Atlantisk/Scopolis/Storskråpe;"Calonectris borealis/C. diomedea/Puffinus gravis";"Cory's/Scopolis/Great Shearwater";HU;ubestemt
00361;3910;"Scopolis Skråpe";"Calonectris diomedea";"Scopoli's Shearwater";AU;art
00430;3920;"Sodfarvet Skråpe";"Ardenna grisea";"Sooty Shearwater";AS;art
00400;3930;Storskråpe;"Ardenna gravis";"Great Shearwater";AU;art
00460;3940;"Almindelig Skråpe";"Puffinus puffinus";"Manx Shearwater";AS;art
00459;3950;"Balearskråpe/Almindelig Skråpe";"Puffinus mauretanicus/P. puffinus";"Balearic Shearwater/Manx Shearwater";H;ubestemt
00465;3960;Ægæerskråpe;"Puffinus yelkouan";"Yelkouan Shearwater";U;art
00455;3970;Balearskråpe;"Puffinus mauretanicus";"Balearic Shearwater";AU;art
00490;3980;Tropeskråpe;"Puffinus lherminieri";"Audubon's Shearwater";AU;art
00480;3990;"Lille Skråpe";"Puffinus baroli";"Barolo Shearwater";U;art
00499;4000;"Skråpe sp.";Procellariidae;"Shearwater sp.";H;ubestemt
01310;4010;"Sort Stork";"Ciconia nigra";"Black Stork";AS;art
01340;4020;"Hvid Stork";"Ciconia ciconia";"White Stork";A;art
01359;4030;"Stork sp.";Ciconiidae;"Stork sp.";H;ubestemt
00930;4040;Pragtfregatfugl;"Fregata magnificens";"Magnificent Frigatebird";AU;art
00710;4050;Sule;"Morus bassanus";"Northern Gannet";A;art
00700;4060;"Brun Sule";"Sula leucogaster";"Brown Booby";AU;art
00820;4065;Dværgskarv;"Microcarbo pygmaeus";"Pygmy Cormorant";U;art
00720;4070;Skarv;"Phalacrocorax carbo";"Great Cormorant";A;art
00721;4080;"Skarv, Storskarv (ssp. carbo)";"Phalacrocorax carbo carbo";"Great Cormorant (ssp. carbo)";A;underart
00722;4090;"Skarv, Mellemskarv (ssp. sinensis)";"Phalacrocorax carbo sinensis";"Great Cormorant (ssp. sinensis)";A;underart
00849;4100;"Skarv sp.";Phalacrocoracidae;"Cormorant/Shag sp.";H;ubestemt
00800;4110;Topskarv;"Gulosus aristotelis";"European Shag";AS;art
01420;4120;"Hellig Ibis";"Threskiornis aethiopicus";"African Sacred Ibis";EU;art
01370;4130;Eremitibis;"Geronticus eremita";"Northern Bald Ibis";EU;art
01360;4140;"Sort Ibis";"Plegadis falcinellus";"Glossy Ibis";AS;art
01440;4150;Skestork;"Platalea leucorodia";"Eurasian Spoonbill";A;art
34130;4160;"Afrikansk Skestork";"Platalea alba";"African Spoonbill";E;art
00950;4170;Rørdrum;"Botaurus stellaris";"Eurasian Bittern";A;art
00960;4180;"Amerikansk Rørdrum";"Botaurus lentiginosus";"American Bittern";AU;art
00980;4190;Dværghejre;"Ixobrychus minutus";"Little Bittern";AU;art
01040;4200;Nathejre;"Nycticorax nycticorax";"Black-crowned Night Heron";AU;art
01190;4210;Silkehejre;"Egretta garzetta";"Little Egret";AS;art
01219;4220;"Hejre sp. (hvid)";Ardeidae;"Egret/Heron sp. (white)";H;ubestemt
01259;4230;"Hejre sp.";Ardeidae;"Heron sp.";H;ubestemt
01080;4240;Tophejre;"Ardeola ralloides";"Squacco Heron";AU;art
01110;4250;Kohejre;"Bubulcus ibis";"Western Cattle Egret";AS;art
01210;4260;Sølvhejre;"Ardea alba";"Great Egret";A;art
01220;4270;Fiskehejre;"Ardea cinerea";"Grey Heron";A;art
01240;4280;Purpurhejre;"Ardea purpurea";"Purple Heron";AU;art
00880;4290;"Hvid Pelikan";"Pelecanus onocrotalus";"Great White Pelican";DU;art
00900;4300;Rosapelikan;"Pelecanus rufescens";"Pink-backed Pelican";E;art
00890;4310;"Krøltoppet Pelikan";"Pelecanus crispus";"Dalmatian Pelican";AU;art
00919;4320;"Pelikan sp.";Pelecanidae;"Pelican sp.";HU;ubestemt
02270;4330;Kalkungrib;"Cathartes aura";"Turkey Vulture";E;art
03010;4340;Fiskeørn;"Pandion haliaetus";"Western Osprey";A;art
02350;4350;"Blå Glente";"Elanus caeruleus";"Black-winged Kite";AU;art
02460;4360;Lammegrib;"Gypaetus barbatus";"Bearded Vulture";EU;art
02470;4370;Ådselgrib;"Neophron percnopterus";"Egyptian Vulture";AU;art
02310;4380;Hvepsevåge;"Pernis apivorus";"European Honey Buzzard";A;art
02530;4390;"Rüppells Grib";"Gyps rueppelli";"Rüppell's Vulture";E;art
02510;4400;Gåsegrib;"Gyps fulvus";"Griffon Vulture";AU;art
02550;4410;Munkegrib;"Aegypius monachus";"Cinereous Vulture";U;art
02559;4420;"Grib sp.";"Gypeatus/Gyps/Aegypticus/Neophron sp.";"Vulture sp.";HU;ubestemt
02560;4430;Slangeørn;"Circaetus gallicus";"Short-toed Snake Eagle";AU;art
02920;4440;"Lille Skrigeørn";"Clanga pomarina";"Lesser Spotted Eagle";AS;art
02930;4450;"Stor Skrigeørn";"Clanga clanga";"Greater Spotted Eagle";AU;art
02929;4460;"Lille Skrigeørn/Stor Skrigeørn";"Clanga pomarina/C. clanga";"Lesser Spotted Eagle/Greater Spotted Eagle";HS;ubestemt
02980;4470;Dværgørn;"Hieraaetus pennatus";"Booted Eagle";AU;art
02945;4480;Steppeørn;"Aquila nipalensis";"Steppe Eagle";AU;art
02950;4490;Kejserørn;"Aquila heliaca";"Eastern Imperial Eagle";AU;art
02960;4500;Kongeørn;"Aquila chrysaetos";"Golden Eagle";AS;art
02990;4510;Høgeørn;"Aquila fasciata";"Bonelli's Eagle";AU;art
02979;4520;"Ørn sp.";"Aquila/Clanga/Haliaeetus/Hieraatus sp.";"Eagle sp.";H;ubestemt
02690;4530;Spurvehøg;"Accipiter nisus";"Eurasian Sparrowhawk";A;art
02670;4540;Duehøg;"Accipiter gentilis";"Northern Goshawk";A;art
02672;4550;"Duehøg, Russisk (ssp. buteoides)";"Accipiter gentilis buteoides";"Northern Goshawk (ssp. buteoides)";AU;underart
02749;4560;"Høg sp.";"Accipiter sp.";"Hawk sp.";H;ubestemt
02600;4570;Rørhøg;"Circus aeruginosus";"Western Marsh Harrier";A;art
02610;4580;"Blå Kærhøg";"Circus cyaneus";"Hen Harrier";A;art
02615;4590;"Amerikansk Kærhøg";"Circus hudsonius";"Northern Harrier";AU;art
02620;4600;Steppehøg;"Circus macrourus";"Pallid Harrier";AS;art
02619;4610;"Blå Kærhøg x Steppehøg (hybrid)";"Circus cyaneus x C. macrourus";"Hen Harrier x Pallid Harrier";H;hybrid
02629;4620;Steppehøg/Hedehøg;"Circus macrourus/C. pygargus";"Pallid Harrier/Montagu's Harrier";H;ubestemt
02630;4630;Hedehøg;"Circus pygargus";"Montagu's Harrier";A;art
02649;4640;"Kærhøg sp.";"Circus sp.";"Harrier sp.";H;ubestemt
02390;4650;"Rød Glente";"Milvus milvus";"Red Kite";A;art
02380;4660;"Sort Glente";"Milvus migrans";"Black Kite";AS;art
02382;4670;"Gulnæbbet Glente";"Milvus aegyptius";"Yellow-billed Kite";DU;art
02388;4680;"Sort Glente/Rød Glente";"Milvus migrans/M. milvus";"Black Kite/Red Kite";H;ubestemt
02389;4690;"Sort Glente x Rød Glente (hybrid)";"Milvus migrans x M. milvus";"Black Kite x Red Kite";H;hybrid
02450;4700;Beringshavørn;"Haliaeetus pelagicus";"Steller's Sea Eagle";EU;art
02430;4710;Havørn;"Haliaeetus albicilla";"White-tailed Eagle";A;art
02440;4720;"Hvidhovedet Havørn";"Haliaeetus leucocephalus";"Bald Eagle";U;art
02900;4730;Fjeldvåge;"Buteo lagopus";"Rough-legged Buzzard";A;art
02880;4740;Ørnevåge;"Buteo rufinus";"Long-legged Buzzard";AU;art
02919;4750;"Våge sp.";"Buteo sp.";"Buzzard sp.";H;ubestemt
02870;4760;Musvåge;"Buteo buteo";"Common Buzzard";A;art
02872;4770;"Musvåge, Steppevåge (ssp. vulpinus)";"Buteo buteo vulpinus";"Common Buzzard (ssp. vulpinus)";AU;underart
07350;4780;Slørugle;"Tyto alba";"Western Barn Owl";A;art
07351;4790;"Slørugle, Hvidbrystet (ssp. alba)";"Tyto alba alba";"Western Barn Owl (ssp. alba)";AU;underart
07352;4800;"Slørugle, Mørkbrystet (ssp. guttata)";"Tyto alba guttata";"Western Barn Owl (ssp. guttata)";A;underart
07700;4810;Perleugle;"Aegolius funereus";"Boreal Owl";AS;art
07570;4820;Kirkeugle;"Athene noctua";"Little Owl";AS;art
07500;4830;Høgeugle;"Surnia ulula";"Northern Hawk-Owl";AU;art
07510;4840;Spurveugle;"Glaucidium passerinum";"Eurasian Pygmy Owl";AU;art
07390;4850;Dværghornugle;"Otus scops";"Eurasian Scops Owl";AU;art
07670;4860;Skovhornugle;"Asio otus";"Long-eared Owl";A;art
07680;4870;Mosehornugle;"Asio flammeus";"Short-eared Owl";A;art
07679;4880;Skovhornugle/Mosehornugle;"Asio otus/A. flammeus";"Long-eared Owl/Short-eared Owl";H;ubestemt
07490;4890;Sneugle;"Bubo scandiacus";"Snowy Owl";AU;art
07440;4900;"Stor Hornugle";"Bubo bubo";"Eurasian Eagle-Owl";C;art
07719;4910;"Ugle sp.";Strigidae;"Owl sp.";H;ubestemt
07610;4920;Natugle;"Strix aluco";"Tawny Owl";A;art
08460;4930;Hærfugl;"Upupa epops";"Eurasian Hoopoe";AS;art
08410;4940;Ellekrage;"Coracias garrulus";"European Roller";AU;art
08310;4950;Isfugl;"Alcedo atthis";"Common Kingfisher";A;art
08390;4960;"Grøn Biæder";"Merops persicus";"Blue-cheeked Bee-eater";AU;art
08400;4970;Biæder;"Merops apiaster";"European Bee-eater";AS;art
08480;4980;Vendehals;"Jynx torquilla";"Eurasian Wryneck";A;art
08980;4990;"Tretået Spætte";"Picoides tridactylus";"Eurasian Three-toed Woodpecker";AU;art
09019;5000;"Spætte sp.";Picidae;"Woodpecker sp.";H;ubestemt
08830;5010;Mellemflagspætte;"Dendrocoptes medius";"Middle Spotted Woodpecker";AS;art
08870;5020;"Lille Flagspætte";"Dryobates minor";"Lesser Spotted Woodpecker";A;art
08871;5030;"Lille Flagspætte, Nordlig (ssp. minor)";"Dryobates minor minor";"Lesser Spotted Woodpecker (ssp. minor)";A;underart
08876;5040;"Lille Flagspætte, Sydlig (ssp. hortorum)";"Dryobates minor hortorum";"Lesser Spotted Woodpecker (ssp. hortorum)";A;underart
08760;5050;"Stor Flagspætte";"Dendrocopos major";"Great Spotted Woodpecker";A;art
08761;5060;"Stor Flagspætte, Nordlig (ssp. major)";"Dendrocopos major major";"Great Spotted Woodpecker (ssp. major)";A;underart
08764;5070;"Stor Flagspætte, Sydlig (ssp. pinetorum)";"Dendrocopos major pinetorum";"Great Spotted Woodpecker (ssp. pinetorum)";A;underart
08769;5080;"Stor Flagspætte x Hvidrygget Flagspætte (hybrid)";"Dendrocopos major x D. leucotos";"Great Spotted Woodpecker x White-backed Woodpecker";HU;hybrid
08500;5090;Guldspætte;"Colaptes auratus";"Northern Flicker";AU;art
08630;5100;Sortspætte;"Dryocopus martius";"Black Woodpecker";A;art
08560;5110;Grønspætte;"Picus viridis";"European Green Woodpecker";A;art
03030;5120;"Lille Tårnfalk";"Falco naumanni";"Lesser Kestrel";AU;art
03040;5130;Tårnfalk;"Falco tinnunculus";"Common Kestrel";A;art
03050;5140;"Amerikansk Tårnfalk";"Falco sparverius";"American Kestrel";BU;art
03070;5150;Aftenfalk;"Falco vespertinus";"Red-footed Falcon";AS;art
03110;5160;Eleonorafalk;"Falco eleonorae";"Eleonora's Falcon";AU;art
03090;5170;Dværgfalk;"Falco columbarius";Merlin;A;art
03100;5180;Lærkefalk;"Falco subbuteo";"Eurasian Hobby";A;art
03109;5190;Lærkefalk/Aftenfalk;"Falco subbuteo/F. vespertinus";"Eurasian Hobby/Red-footed Falcon";H;ubestemt
03140;5200;Lannerfalk;"Falco biarmicus";"Lanner Falcon";DU;art
03160;5210;Slagfalk;"Falco cherrug";"Saker Falcon";AU;art
03180;5220;Jagtfalk;"Falco rusticolus";Gyrfalcon;AU;art
03200;5230;Vandrefalk;"Falco peregrinus";"Peregrine Falcon";A;art
03205;5240;"Vandrefalk, Sibirisk (ssp. calidus)";"Falco peregrinus calidus";"Peregrine Falcon (ssp. calidus)";AU;underart
03189;5250;"Storfalk sp.";"Falco sp.";"Large Falcon sp.";H;ubestemt
03219;5260;"Falk sp.";"Falco sp.";"Falcon sp.";H;ubestemt
40010;5270;Nymfeparakit;"Nymphicus hollandicus";Cockatiel;E;art
07085;5280;Munkeparakit;"Myiopsitta monachus";"Monk Parakeet";E;art
07149;5290;"Papegøje sp.";Psittacidae;"Parakeet/Parrot sp.";H;ubestemt
07135;5300;"Stor Alexanderparakit";"Psittacula eupatria";"Alexandrine Parakeet";E;art
07120;5310;Alexanderparakit;"Psittacula krameri";"Rose-ringed Parakeet";E;art
40000;5320;Undulat;"Melopsittacus undulatus";Budgerigar;E;art
16330;5330;"Rødøjet Vireo";"Vireo olivaceus";"Red-eyed Vireo";AU;art
15080;5340;Pirol;"Oriolus oriolus";"Eurasian Golden Oriole";AS;art
15200;5350;"Stor Tornskade";"Lanius excubitor";"Great Grey Shrike";A;art
15195;5360;"Stor Tornskade, Ørkentornskade (ssp. pallidirostris)";"Lanius excubitor pallidirostris";"Great Grey Shrike (ssp. pallidirostris)";AU;underart
15190;5370;"Rosenbrystet Tornskade";"Lanius minor";"Lesser Grey Shrike";AU;art
15230;5380;"Rødhovedet Tornskade";"Lanius senator";"Woodchat Shrike";AU;art
15249;5390;"Tornskade sp.";"Lanius sp.";"Shrike sp.";H;ubestemt
15150;5400;"Rødrygget Tornskade";"Lanius collurio";"Red-backed Shrike";A;art
15140;5410;Turkestantornskade;"Lanius phoenicuroides";"Red-tailed Shrike";AU;art
15130;5420;"Brun Tornskade";"Lanius cristatus";"Brown Shrike";AU;art
15170;5430;"Langhalet Tornskade";"Lanius schach";"Long-tailed Shrike";AU;art
15390;5440;Skovskade;"Garrulus glandarius";"Eurasian Jay";A;art
15470;5450;"Iberisk Blåskade";"Cyanopica cooki";"Iberian Magpie";E;art
15490;5460;Husskade;"Pica pica";"Eurasian Magpie";A;art
15570;5470;Nøddekrige;"Nucifraga caryocatactes";"Spotted Nutcracker";AS;art
15571;5480;"Nøddekrige, Tyknæbbet (ssp. caryocatactes)";"Nucifraga caryocatactes caryocatactes";"Spotted Nutcracker (ssp. caryocatactes)";AS;underart
15572;5490;"Nøddekrige, Tyndnæbbet (ssp. macrorhynchos)";"Nucifraga caryocatactes macrorhynchos";"Spotted Nutcracker (ssp. macrorhynchos)";AS;underart
15600;5500;Allike;"Coloeus monedula";"Western Jackdaw";A;art
15601;5510;"Allike, Almindelig (ssp. monedula)";"Coloeus monedula monedula";"Western Jackdaw (ssp. monedula)";A;underart
15603;5520;"Allike, Vestlig (ssp. spermologus)";"Coloeus monedula spermologus";"Western Jackdaw (ssp. spermologus)";A;underart
15602;5530;"Allike, Halsbåndsallike (ssp. soemmerringii)";"Coloeus monedula soemmerringii";"Western Jackdaw (ssp. soemmerringii)";U;underart
15610;5540;"Sibirisk Allike";"Coloeus dauuricus";"Daurian Jackdaw";AU;art
15630;5550;Råge;"Corvus frugilegus";Rook;A;art
15671;5560;Sortkrage;"Corvus corone";"Carrion Crow";A;art
15673;5570;Gråkrage;"Corvus cornix";"Hooded Crow";A;art
15679;5580;"Sortkrage x Gråkrage (hybrid)";"Corvus corone x C. cornix";"Carrion Crow x Hooded Crow";H;hybrid
15670;5590;Sortkrage/Gråkrage;"Corvus corone/C. cornix";"Carrion Crow/Hooded Crow";H;ubestemt
15749;5600;"Kragefugl sp.";Corvidae;"Corvid sp.";H;ubestemt
15700;5610;"Broget Krage";"Corvus albus";"Pied Crow";EU;art
15720;5620;Ravn;"Corvus corax";"Northern Raven";A;art
10480;5630;Silkehale;"Bombycilla garrulus";"Bohemian Waxwing";A;art
14610;5640;Sortmejse;"Periparus ater";"Coal Tit";A;art
14540;5650;Topmejse;"Lophophanes cristatus";"European Crested Tit";A;art
14400;5660;Sumpmejse;"Poecile palustris";"Marsh Tit";A;art
14420;5670;Fyrremejse;"Poecile montanus";"Willow Tit";A;art
14421;5680;"Fyrremejse, Nordlig (ssp. borealis)";"Poecile montanus borealis";"Willow Tit (ssp. borealis)";AU;underart
14423;5690;"Fyrremejse, Pilemejse (ssp. salicarius)";"Poecile montanus salicarius";"Willow Tit (ssp. salicarius)";A;underart
14409;5700;Sumpmejse/Fyrremejse;"Poecile palustris/P. montanus";"Marsh Tit/Willow Tit";H;ubestemt
14620;5710;Blåmejse;"Cyanistes caeruleus";"Eurasian Blue Tit";A;art
14640;5720;Musvit;"Parus major";"Great Tit";A;art
14669;5730;"Mejse sp.";"Parus/Poecile/etc. sp.";"Tit sp.";H;ubestemt
14900;5740;Pungmejse;"Remiz pendulinus";"Eurasian Penduline Tit";AS;art
13640;5750;Skægmejse;"Panurus biarmicus";"Bearded Reedling";A;art
09740;5760;Hedelærke;"Lullula arborea";Woodlark;A;art
09760;5770;Sanglærke;"Alauda arvensis";"Eurasian Skylark";A;art
09720;5780;Toplærke;"Galerida cristata";"Crested Lark";AS;art
09799;5790;"Lærke sp.";Alaudidae;"Lark sp.";H;ubestemt
09780;5800;Bjerglærke;"Eremophila alpestris";"Horned Lark";A;art
09680;5810;"Korttået Lærke";"Calandrella brachydactyla";"Greater Short-toed Lark";AU;art
09620;5820;"Østlig Kalanderlærke";"Melanocorypha bimaculata";"Bimaculated Lark";AU;art
09700;5830;Dværglærke;"Alaudala rufescens";"Lesser Short-toed Lark";U;art
09810;5840;Digesvale;"Riparia riparia";"Sand Martin";A;art
10019;5850;"Svale sp.";Hirundinidae;"Swallow/Martin sp.";H;ubestemt
